seedKey,fullName,nickname,lifecycleScenario,isArchived,dateOfBirth,gender
student-001,Phạm Lê Mĩ An,Mía,WITHDRAWN,FALSE,8/8/2023,FEMALE
student-002,Nguyễn Phúc An,Kem,WITHDRAWN,FALSE,4/4/2023,MALE
student-003,Đào Minh Anh,,WITHDRAWN,FALSE,9/7/2023,FEMALE
student-004,Đỗ Quang Anh,Sóc,WITHDRAWN,FALSE,15/08/2022,MALE
student-005,Vũ Mạnh Đức,,WITHDRAWN,FALSE,27/02/2021,MALE
student-006,Nguyễn Gia Hân,Bông,WITHDRAWN,FALSE,1/5/2024,FEMALE
student-007,Phạm Trần Gia Khánh,,WITHDRAWN,FALSE,24/11/2021,MALE
student-008,Đỗ Nam Khánh,,WITHDRAWN,FALSE,13/08/2022,MALE
student-009,Phạm Bá Tuấn Kiệt,bánh bao,WITHDRAWN,FALSE,8/3/2023,MALE
student-010,Hà Tùng Lâm,,WITHDRAWN,FALSE,26/05/2022,MALE
student-011,Phùng Nhật Minh,Khoai,WITHDRAWN,FALSE,13/06/2022,MALE
student-012,Hoàng Anh Minh,Mít,WITHDRAWN,FALSE,10/10/2020,MALE
student-013,Nguyễn Ngọc Khánh My,,WITHDRAWN,FALSE,8/9/2021,FEMALE
student-014,Jeon Du Na,,WITHDRAWN,FALSE,2/2/2023,FEMALE
student-015,Trần Nhất Nam,,WITHDRAWN,FALSE,27/10/2020,MALE
student-016,Nguyễn Bảo Ngọc,Miu,WITHDRAWN,FALSE,30/04/2023,FEMALE
student-017,Phạm Hải Minh Ngọc,Cam,WITHDRAWN,FALSE,20/10/2023,FEMALE
student-018,Đỗ Quang Nguyên,Thóc,WITHDRAWN,FALSE,13/05/2020,MALE
student-019,Thái Ngọc An Nhiên,Lisa,WITHDRAWN,FALSE,28/11/2023,FEMALE
student-020,Nguyễn Minh Phương,su,WITHDRAWN,FALSE,5/11/2020,FEMALE
student-021,Phạm Hoàng Quân,,WITHDRAWN,FALSE,2/11/2024,MALE
student-022,Chu Kiến Quốc,Gấu,WITHDRAWN,FALSE,25/03/2024,MALE
student-023,Phạm Uyên,Bánh Bao,WITHDRAWN,TRUE,23/06/2023,FEMALE
student-024,Nguyễn Khoa Vũ,Tít,WITHDRAWN,TRUE,19/11/2021,MALE
student-025,Đào Bình An,,ACTIVE,FALSE,1/9/2024,MALE
student-026,Nguyễn Hữu Nguyên Anh,Bơ,ACTIVE,FALSE,17/05/2024,MALE
student-027,Nguyễn Việt Anh,Bin,ACTIVE,FALSE,30/12/2024,MALE
student-028,Nguyễn Hải Đăng,,ACTIVE,FALSE,11/9/2024,MALE
student-029,Lại Hà Quang Minh,,ACTIVE,FALSE,17/06/2024,MALE
student-030,Lại Hà Ngọc Minh,,ACTIVE,FALSE,17/06/2024,FEMALE
student-031,Vũ Trúc Uyển Nghi,Min,ACTIVE,FALSE,29/08/2024,FEMALE
student-032,Nguyễn Thiên Phú,,ACTIVE,FALSE,25/08/2024,MALE
student-033,Đỗ Duy Phúc,Ổi,ACTIVE,FALSE,3/8/2024,MALE
student-034,Phạm Thái Sang,Sáo,ACTIVE,FALSE,2/2/2024,MALE
student-035,Nguyễn Minh Tâm,,ACTIVE,FALSE,22/02/2024,FEMALE
student-036,Lê Ngọc Gia An,,ACTIVE,FALSE,27/02/2024,FEMALE
student-037,Thái Hữu Mạnh Đăng,,ACTIVE,FALSE,26/01/2024,MALE
student-038,Kim Nguyễn Hải Đăng,,ACTIVE,FALSE,1/3/2024,MALE
student-039,Nguyễn Minh Đức,True,ACTIVE,FALSE,29/03/2024,MALE
student-040,Nguyễn Hữu Quốc Hiếu,Code,ACTIVE,FALSE,2/11/2024,MALE
student-041,Nguyễn Bá Chí Hưng,Chôm Chôm,ACTIVE,FALSE,16/05/2024,MALE
student-042,Đỗ Tuấn Minh Khôi,Sonic,ACTIVE,FALSE,17/02/2024,MALE
student-043,Nghiêm Trung Kiên,,ACTIVE,FALSE,5/2/2024,MALE
student-044,Hoàng Bảo Long,Gấu,ACTIVE,FALSE,13/02/2024,MALE
student-045,Đoàn Nguyễn Nhật Minh,Bon,ACTIVE,FALSE,23/02/2024,MALE
student-046,Phạm Hoàng Minh,Rau,ACTIVE,FALSE,3/1/2023,MALE
student-047,Nguyễn Ngọc Khả Ngân,Kẹo,ACTIVE,FALSE,21/05/2024,FEMALE
student-048,Đặng Minh Ngọc,,ACTIVE,FALSE,25/02/2024,FEMALE
